,title,text,tokens
0,사용 설명서,사용 설명서 컬러 잉크젯 프린터 SL-J292xW Series 목 차 사용 설명서 ● 안전을 위한 주의 사항은 사용자의 안전을 지키고 재산상의 손해 등을 막기 위한 내용입니다.  반드시 읽고 올바르게 사용해 주세요. ● 본 제품은 국내용 입니다. 전원과 전압이 다른 국외에서는 사용할 수 없습니다.  ,134
1,저작권,"2  저작권 저작권 ©2016 삼성전자(주)가 모든 권한을 소유합니다. 이 사용 설명서와 제품은 저작권법에 의해 보호됩니다. 이 사용 설명서는 사전 서면 동의 없이 사용 설명서 및 제품의 일부 또는 전체를 복사나 복제, 번역 또는 전자 매체나 기계가 읽을 수 있는 형태로 바꿀 수 없습니다.  이 사용 설명서와 제품은 표기상의 잘못이나 기술적인 잘못이 있을 수 있으며 사전 통보 없이 이러한 내용이 변경될 수 있습니다. 삼성전자(주)는 본 사용 설명서 사용으로 인해 발생하는 직/간접적 손해에 대해 책임지지 않습니다. • 삼성 및 SAMSUNG 로고는 삼성전자(주)의 상표입니다. • Microsoft 및 Windows는 Microsoft Corporation의 등록 상표 또는 상표입니다. • Microsoft, Internet Explorer, Excel, Word, PowerPoint, 및 Outlook은 Microsoft Corporation의 등록 상표 또는 상표입니다. • Mac, Mac OS X  AirPrint는 미국 및 기타 국가에서 Apple Inc.의 상표입니다. • 기타 모든 상표 또는 제품 이름은 해당하는 회사 또는 조직의 상표입니다. • ©2016 Copyright HPDC. REV. 1.00 ",427
2,저작권,['3 목차 1. 제품 알아보기 사용 설명서 정보  6 안전을 위한 경고 및 주의사항  7 제품 모습  12 조작부 사용  14 전원 연결하기  15 소프트웨어 설치  16 소프트웨어 재설치  17 제품 설정  18 2. 용지 및 용지함 인쇄 용지 관련 정보  20 용지 넣기  22 3. 인쇄 인쇄하기  28 인쇄 환경 설정  29 4. Samsung Photo and Imaging Gallery  프로그램 이해하기 Samsung Photo and Imaging Gallery 프로그램 32 Samsung Photo and Imaging Gallery 실행하기 33 Samsung Photo and Imaging Gallery 사용하기 35 5. 모바일 장치에서 사용 Samsung Mobile Print  37 6. 카트리지 및 유지보수 잉크 카트리지 및 프린트 헤드에 대한 정보 39 예상 잉크량 확인  40 잉크 카트리지 주문  41 잉크 카트리지 교체  42 청소하기  44 7. 네트워크 설정 무선 네트워크 프린터 설정  49 네트워크 설정 변경  53 Wi-Fi Direct 사용  54 '],366
3,저작권,['4 목차 8. 프린터 관리 도구 프린터 길잡이  58 EWS(내장 웹 서버)  59 9. 문제 해결 용지 걸림을 예방할 수 있는 정보  63 용지 걸림 제거  64 잉크 캐리지 걸림 해결  68 인쇄 문제  69 인쇄 품질 문제  70 네트워크 문제  71 상태 표시등(LED) 이해하기  72 기타 문제 해결  76 10. 부록 사양  78 규제 정보  79 11. 서비스 및 기타 프린터 서비스 안내  82 서비스에 대하여  83 한국 A/S 우수 기업 마크  85 폐 가전제품 처리 안내  86 전자파 적합 등록 및 화폐위조  87 '],266
4,1. 제품 알아보기,1. 제품 알아보기 이 장에서는 제품을 사용하기 전에 알아야 할 정보를 제공합니다. • 사용 설명서 정보 6 • 안전을 위한 경고 및 주의사항 7 • 제품 모습 12 • 조작부 사용 14 • 전원 연결하기 15 • 소프트웨어 설치 16 • 소프트웨어 재설치 17 • 제품 설정 18 ,135
5,사용 설명서 정보,6 1. 제품 알아보기 사용 설명서 정보 이 사용 설명서는 실제 사용하는 방법을 단계적으로 자세하게 설명뿐만  아니라 제품의 기본적인 정보도 함께 제공합니다. • 이 설명서는 버리지 마시고 보관하신 후 필요할 때 참조하세요. • 제품을 사용하기 전에 안전을 위한 주의사항을 먼저 읽어보세요. • 제품 사용 시 문제가 발생하면 문제 해결 편을 확인하세요. • 사용 설명서의 그림은 제품의 옵션이나 모델에 따라 실제 제품과 다 를 수 있습니다. • 사용 설명서에 제시된 스크린샷은 제품의 펌웨어/드라이버 버전에 따 라 실제와 다를 수 있습니다. • 소프트웨어는 Windows만 지원합니다. 1  표기법 본 설명서에서 사용하는 일부 용어는 아래와 같이 혼용될 수 있습니다. • 원고는 원본과 같은 뜻입니다. • 종이는 용지 또는 인쇄 용지와 같은 뜻입니다. • 제품 및 프린터는 잉크젯 프린터 또는 잉크젯 복합기를 의미합니다. 2  본문 표기 아이콘 아이콘 문자 설명 주의 제품의 기계적 손상이나 오작동을 방지하기 위한 정보를 제공합니다. 경고 신체적 상해의 가능성을 경고합니다.  참고 제품의 기능과 성능에 대한 추가 정보를 제공합니 다. ,492
6,안전을 위한 경고 및 주의사항,"7 1. 제품 알아보기 안전을 위한 경고 및 주의사항 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용입니다. 반드시  잘 읽고 제품을 올바르게 사용해 주세요.   아래의 경고 사항은 지키지 않으면 사용자가 사망하거나 중상을 입을  수 있습니다.   3  중요한 안전 아이콘 사용 설명서에서 사용되는 아이콘과 기호에 대한 설명 4  전원 경고 경고 심각한 신체적 상해나 사망을 초래할 수 있는  위험 또는 안전하지 않은 작업 주의 가벼운 신체적 상해나 재산 상의 손상을 초래할  수 있는 위험 또는 안전하지 않은 작업 시도하지 마세요. 손상된 전원 코드나 플러그, 헐거운 콘센트 를 사용하지 마세요. ▶ 감전, 화재의 위험이 있습니다. 전원 코드를 무리하게 구부리거나 무거운 물 건으로 눌러 망가지지 않도록 하세요. ▶ 감전, 화재의 위험이 있습니다. ",371
7,안전을 위한 경고 및 주의사항,"['안전을 위한 경고 및 주의사항 8 1. 제품 알아보기 5  설치  경고 천둥, 번개가 치거나 오랜 시간 사용하지 않 을 때는 전원 플러그를 뽑으세요. ▶ 감전, 화재의 위험이 있습니다. 전원 플러그는 코드 부분을 잡아당겨  뽑거나  젖은 손으로 만지지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품 내부를 청소하기 전에 벽면 콘센트에 서 제품을 분리하세요. 제품에 물을 직접 뿌 리거나 제품을 벤젠, 시너, 알코올 등으로  닦지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품 위에 촛불, 담뱃불 등을 올려놓거나 제 품을 열기구와 가까운 곳에 설치하지 마세 요. ▶ 화재의 위험이 있습니다. ']",330
8,안전을 위한 경고 및 주의사항,"['안전을 위한 경고 및 주의사항 9 1. 제품 알아보기 6  청소 경고 7  기타 경고 제품  내부를  청소하기 전에  벽면  콘센트에서  제품을 분리하세요. 제품에 물을 직접 뿌리 거나 제품을 벤젠, 시너, 알코올 등으로 닦 지 마세요. ▶ 감전, 화재의 위험이 있습니다. 반드시  부드러운 천에 물을 묻혀서 닦으세요. ▶ 청소할 때는 알코올 혹은 솔벤트가 다량  함유 되거나 일부 강한 성분이 함유된 계면  활성제를 사용하지 마세요. 제품이 변색되 거나 갈라질 수 있습니다. 유아나 어린이가  청소 용품을 만지지 않도록 주의하세요. 전원 플러그의 핀과 접촉 부분에 먼지, 물  등이 묻어 있으면 잘 닦으세요. ▶ 감전, 화재의 위험이 있습니다. 제품 위에 물이 담긴 그릇이나 약품, 작은 금 속류 등을 올려놓지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품에서 이상한 소리나 냄새, 연기가 나면  즉시 전원 플러그를 뽑고 전문 서비스 센터 로 연락하세요. ▶ 감전, 화재의 위험이 있습니다. ']",494
9,안전을 위한 경고 및 주의사항,['안전을 위한 경고 및 주의사항 10 1. 제품 알아보기 8  설치  주의 잉크 카트리지를 분해하지 마세요. • 플러그가 콘센트에 제대로 꽂혀지지 않으면 반드시 전기 기술자를 불러  콘센트를 교체하세요. 그렇지 않으면 감전의 위험이 있습니다. • 제품 라벨에 표시되어 있는 전원에 연결하세요. • 전원 코드 위에는 아무것도 올려놓지 마세요. 코드가 사람에게 밟히거나  사람이 코드에 걸릴 수 있는 곳에는 제품을 설치하지 마세요. • 전원 차단 장치는 전원 코드입니다. 모든 전원 공급을 차단하려면 콘센 트에서 전원 코드를 뽑으세요. 불안정한 곳에 제품을 설치하지 마세요. ▶ 제품이 떨어져 망가지거나 제품에 맞아  사람이 다칠 수 있습니다. '],340
10,안전을 위한 경고 및 주의사항,"['안전을 위한 경고 및 주의사항 11 1. 제품 알아보기 9  청소  주의 10  기타  주의 제품에 걸린 용지를 제거할 때는 핀셋이나  끝이 뾰족한 금속 도구를 사용하지 마세요. ▶ 금속 부품의 피복이 벗겨져 누전될 수 있 습니다. 소모품 교환이나 제품 청소 등으로  제품 내부에 손을 넣어야 할 때는  제품이 작동할 수 있는 조작을 하지 마세요. ▶ 제품의 기계적인 작동으로 사람이 다칠  수 있습니다. • 나사로 고정되어 있는 덮개나 보호 장치를 분리하지 마세요. 제품 내부의  부품은 지정된 서비스 기사가 아니면 수리하거나 관리할 수 없습니다. • 반드시 이 제품과 함께 제공되는 사용 설명서의 지시대로만 청소하고 관 리하세요. 사용자 임의로 제품을 분해하거나 수리, 개 조하지 마세요. ▶ 제품을 수리해야 할 때는 반드시 서비스  센터로 연락하세요. 제품 위에 무거운 물건을 올려놓지 마세요. ▶ 물건이 떨어지면 사람이 다칠 수 있습니 다. • 잉크 카트리지는 물이 주요 성분으로 동절기에는 사용 환경에 따라 잉 크가 얼어 출력이 되지 않을 경우 잉크가 녹을때까지 상온에서 기다렸 다가 사용하세요. 사용자 임의로 뜨거운 물이나 전자렌지에 잉크 카트 리지를 넣지 마세요. ']",558
11,제품 모습,"12 1. 제품 알아보기 제품 모습 제품 명칭을 알아두면 편리합니다. 11  앞모습 보기 12  인쇄 소모품 영역 보기   • 잉크 카트리지는 인쇄 품질 문제 또는 프린트 헤드 손상을 막기 위 해 반드시 프린터에 항상 들어있어야 합니다. 장시간 동안 잉크 카 트리지를 분리하지 마세요. • 새 잉크 카트리지 설치, 잉크 카트리지 교체 또는 프린터 사용 중 에 최상의 인쇄 품질을 확보하기 위해 자동으로 초기화 동작을 진 행합니다. 이는 제품의 유지보수를 위한 필수 동작으로 완료 시 까 지 최대 10 ~ 11분이 소요될 수 있습니다. 이것은 고장이 아니므로  안심하고 기다려 주시기 바랍니다. • 잉크 카트리지가 없을 경우 프린터를 끄지 마세요.   1 잉크 카트리지 교체 덮개 2 입력 용지함 3 용지 너비 조절 가이드 4 출력 용지함 확장대 5 출력 용지함 6 전원 버튼 및 표시등 1 잉크 카트리지 교체 덮개 2 잉크 카트리지 3 잉크 캐리지 4 잉크 카트리지 보조 덮개 ",468
12,제품 모습,['제품 모습 13 1. 제품 알아보기 13  뒷모습 보기 1 USB 포트a a. USB 케이블로 프린터와 컴퓨터를 연결합니다. 2 네트워크 포트 3 전원 연결부 4 뒷덮개 '],96
13,조작부 사용,"14 1. 제품 알아보기 조작부 사용 1 프린트 상태 보고서 버튼  및 표시등 프린트에 대한 기본 정보, 사용  정보, 잉크 공급 관련 정보를 출 력하여 확인할 수 있습니다. 2 이더넷 표시등 이더넷 케이블을 통해 네트워크 와 연결 되었을때 표시 되며, IP  주소 등의 정보를 제공 합니다. 3 무선 버튼 및 표시등 프린터의 무선 연결 상태를 알려 줍니다. 4 네트워크 정보 버튼 IP 주소, 네트워크 상태, WPS PIN  번호 등의 정보를 출력하여 확인 할 수 있습니다. 5 취소 버튼 작업을 취소합니다. 6 다시 시작 버튼 및 표시등 중단된 작업을 다시 시작합니다. 7 경고 표시등 프린터가 경고 또는 오류 상태에  있다는 것을 의미합니다. 8 잉크 카트리지 표시등 잉크 잔량을 표시합니다.   잉크량 경고 및 표시는 잉 크 교체 시기를 미리 예상 하기 위한 목적으로만 사 용해야 합니다. 잉크 부족  경고 메시지가 나타나면  인쇄가 지연되지 않도록  교체  카트리지를  준비하는  것이 좋습니다. 인쇄 품질 이 허용 수준 이하로 떨어 지기 전까지는 잉크 카트 리지를 계속 사용할 수 있 지만, 품질이 저하될 수  있습니다.   9 전원 버튼 및 표시등 전원을 켜고 끕니다. ",529
14,전원 연결하기,"15 1. 제품 알아보기 전원 연결하기   • 제품과 함께 제공된 전원 코드를 사용해야 합니다. 그렇지 않으면  제품 손상의 원인이 될 수 있습니다. • 제품이 켜져 있거나 전원 코드가 꽂혀 있을 때는 제품을 분해하지  마세요. 감전의 위험이 있습니다.   14  전원 켜기 1 전원 코드를 제품과 220 V 콘센트에 연결하세요.  2   프린터에 있는  (전원 버튼)을 눌러 전원을 켜세요. 15  전원 끄기 1 프린터에 있는  (전원 버튼)을 눌러 전원을 끄세요.  2   전원 표시등이 꺼진 후 전원 코드를 뽑거나 멀티탭 전원을 꺼주세요.  다른 방식으로 프린터를 끄는 것은 올바른 방식이 아닙니다.   • 전원을 잘못 끌 경우, 잉크 캐리지가 올바른 위치로 복귀되지 않아  잉크 카트리지 및 인쇄 품질에 문제가 발생할 수 있습니다. • 잉크 카트리지가 없을 경우 절대 프린터를 끄지 마세요.   ",394
15,소프트웨어 설치,"16 1. 제품 알아보기 소프트웨어 설치   • 이 사용 설명서에 나오는 설치 화면은 사용하는 제품과 인터페이 스에 따라 다를 수 있습니다. • 길이 3 m 이내의 USB 케이블을 사용하세요. • 프린터와 컴퓨터를 USB 케이블로 미리 연결하지 마세요. 프린터 드 라이버 설치 중간에 컴퓨터 화면에 프린터를 연결하라는 메시지가  나타나면 그때 연결하세요.  • 프린터 드라이버 설치 순서를 꼭 지키세요. 설치 순서를 지키지 않 아 문제가 발생한 경우 서비스를 받을 때 별도의 서비스 비용이 발 생할 수 있습니다. • 지원 운영 체제 : Windows 7, 8, 8.1, 10   1 컴퓨터 전원이 켜져 있고, 인터넷에 연결되어 있는지 확인하세요. 2   제공된 소프트웨어 CD를 CD-ROM 드라이브에 넣으세요. 만약 설치 화면이 나타나지 않으면,  (시작) 메뉴에서 모든 프 로그램 > 보조 프로그램 > 실행을 누르세요. 실행 입력창에 X:\Setup.exe를 입력하고 확인을 누르세요.  X:\Setup.exe에서 “X”는 사용중인 컴퓨터의 CD-ROM 드라이브 이름 을 입력하세요. • Windows 8 / Windows 8.1인 경우 설치 창이 나타나지 않으면 참 메뉴에서 검색 > 앱에서 실행을  검색한 후 실행 입력 창에 X:\Setup.exe를 입력하고 확인을 누 르세요. X:\Setup.exe에서 “X” 는 사용 중인 컴퓨터의 CD-ROM  드라이브 이름을 입력하세요.  “이 디스크에서 할 작업을 선택하세요.” 팝업 창이 뜬다면 창 을 눌러서 Setup.exe 실행을 선택하세요. • Windows 10인 경우 설치 창이 나타나지 않으면 작업 표시줄의 검색 입력란에  X:\Setup.exe('X'는 CD-ROM 드라이브)를 입력하고 Enter 키를 누 릅니다.   CD-ROM 드라이브가 없거나 사용할 수 없는 경우, 삼성 웹사이트에서  소프트웨어를 다운로드하여 압축을 풀고 설치하세요.  (www.samsung.com/printer > 해당 프린터 이름 선택 또는 검색 > 고객 지원 > 다운로드)   3   설치를 시작하기 전 설치할 프로그램을 선택할 수 있습니다. 소프 트웨어 선택 사용자 정의를 선택하세요. 4   설치를 원하는 항목을 선택 후 다음을 누르세요. 5   설치 화면에서 설치 동의서를 검토하고 동의하세요. 그런 후에 다 음을 누르세요. 6   프린터 연결 유형 화면에서 원하는 프린터 연결 옵션을 선택하세요. 7   설치 창에서 안내하는 대로 설치를 진행하세요. ",914
16,소프트웨어 재설치,"17 1. 제품 알아보기 소프트웨어 재설치 프린터 드라이버가 제대로 동작하지 않는다면, 설치된 드라이버를 삭제한  후 드라이버를 재설치를 해야 합니다. 1 (시작) 메뉴에서 모든 프로그램 > Samsung Inkjet Printers >  해당 프린터 드라이버 이름 선택 > 제거를 선택하세요. • Windows 8 / Windows 8.1인 경우 1  참 메뉴에서 검색 > 앱을 선택하세요. 2  제어판을 찾아서 클릭하세요. 3  프로그램 및 기능을 클릭하세요. 4  삭제하려는 드라이버를 선택하고, 마우스 오른쪽 버튼을 클 릭하여 제거를 선택하세요. • Windows 10인 경우 1  작업 표시줄 검색 입력란에 프로그램 및 기능을 입력하세요.  Enter 키를 누르세요. 또는 시작 ( ) 아이콘에서 모든 프로그램 > 검색 > 프로그램  및 기능을 입력하세요. 2  삭제하려는 드라이버를 선택하고, 마우스 오른쪽 버튼을 클 릭하여 제거를 선택하세요. 2   설치 창에서 안내하는 대로 진행하세요. 3   제공된 소프트웨어 CD를 CD-ROM 드라이브에 넣고 소프트웨어를 다 시 설치하세요. (""소프트웨어 설치"" 16쪽 참조)   Windows 8 / Windows 8.1 시작화면에서 소프트웨어 삭제하기 • 삼성 프린터 소프트웨어 타일이 없는 경우, 데스크톱 모드에서 삭 제하세요. • 삼성 프린터 관리 도구들을 삭제하고 싶다면, 시작 화면에서 삭제 하려는 앱을 마우스 오른쪽 버튼으로 클릭 > 제거 > 삭제하려는 프 로그램을 마우스 오른쪽 버튼으로 클릭 > 제거 선택 후 화면에서  안내하는 대로 진행하세요.   ",611
17,제품 설정,"18 1. 제품 알아보기 제품 설정 제품 설치가 완료된 후에 삼성 소프트웨어를 이용해 프린터 기본에 연관된 기능과 설정을 변경할 수 있고, 보고서 인쇄, 프린터 관련 도움말을 확인 할 수 있습니다. 제품 기본값 설정을 변경하려면 다음 절차를 따르세요. 1 삼성 프린터 소프트웨어를 여세요.  ( (시작) 메뉴에서 모든 프로그램 > Samsung Inkjet Printers > 해당 프린터 드라이버 이름 > 해당 프린터 드라이버 이름 선택) 2   프린터 길잡이 > 인쇄 > 프린터 유지 관리를 클릭하세요. 3   도구 상자의 세부 옵션을 선택하세요. • 장치 서비스: 인쇄 품질 향상을 위하여 카트리지 정렬 및 청소를 합니다. • 장치 보고서: 프린터의 진단 정보를 인쇄합니다. • 예상 카트리지 수준: 예상 잉크량을 확인합니다. • 프린트 헤드 상태: 프린터 헤드 정보를 확인합니다. • 장치 정보: 프린터 장치 정보를 확인합니다. • 고급 설정: 프린터 자동 꺼짐 및 경고 표시를 설정합니다. 4   화면에 표시되는 설명에 따라 설정을 변경하세요. ",440
18,2. 용지 및 용지함,2.  용지 및 용지함 이 장에서는 제품에 맞는 용지를 선택하고 용지함을 사용하는 방법을 설명합니다. • 인쇄 용지 관련 정보 20 • 용지 넣기 22 ,83
19,인쇄 용지 관련 정보,"20 2. 용지 및 용지함 인쇄 용지 관련 정보 최고 품질의 인쇄 결과를 원한다면 잉크젯 전용지의 사용을 권장합니다.   제품에 맞지 않는 용지를 사용하면 제품이 고장나서 수리가 필요할  수도 있습니다. 이 경우 보증 기간 내라도 삼성의 무상 서비스를 보 장 받지 못합니다. 지정된 용지만을 사용하세요.   1  용지 선택 / 보관 / 사용 • 젖은 용지, 구겨진 용지, 찢어진 용지, 오염된 용지 등은 사용하지 마 세요. 제품에 용지가 걸리거나 인쇄 품질이 떨어질 수 있습니다. • 올록볼록하게 글자가 엠보싱 처리된 용지, 너무 거칠거나 매끄러운 섬 유 성분이 든 용지, 가로로 결이 있는 용지(횡목지) 등은 사용하지 마 세요. • 용지는 사용할 때까지 포장을 벗기지 마세요. • 용지는 바닥에 두지 말고 선반 등에 보관하세요. • 포장된 용지, 포장을 벗긴 용지에 관계없이 용지 위에 무거운 물체를  올려 두지 마세요. • 용지를 보관할 때는 반드시 습기 방지용 상자나 봉투에 넣어서 먼지 나 습기로부터 보호하세요. • 부록의‘용지 사양’에 기재된 규격 용지를 사용하세요. (""사양"" 78쪽  참조) • 봉투는 반드시 규격 봉투를 사용하세요. 접힌 봉투, 뒤틀린 봉투, 손 상되었거나 품질이 좋지 않은 봉투 등은 사용하지 마세요. • 용지함에 용지를 넣을 때에는 한 번에 한 종류 및 같은 크기의 용지 만 넣으세요.  • 입력 용지함으로부터 용지 적재 시 용지가 올바로 적재되어 있는지 확 인하세요. • 용지함에 너무 많은 용지를 넣지 마세요.  • 용지 걸림, 인쇄 품질 저하, 기타 인쇄 문제를 방지하려면 용지함에  다음과 같은 용지를 넣지 마세요.  - 여러 부분으로 된 양식지 - 손상되었거나 말려있거나 구겨진 용지  - 잘렸거나 구멍이 뚫린 용지  - 너무 가볍거나 쉽게 늘어나는 용지  - 스테이플이나 클립이 있는 용지  - 수정액(수정 테이프)등 이물질이 있는 용지  • ColorLok 로고가 있는 일반 용지를 사용할 것을 권장합니다. ColorLok  용지는 컬러는 더욱 선명하고 생동감 있고 검은색은 보다 짙은 문서 를 만들어 내며 일반 용지보다 더 빨리 마릅니다. ",975
20,인쇄 용지 관련 정보,['인쇄 용지 관련 정보 21 2. 용지 및 용지함 2  특수 용지  • 특수 용지에 인쇄할 때는 반드시 해당 용지 포장 겉면에 인쇄되어 있 는 지시 사항을 따르세요. • 특수 용지는 입력 용지함에 한 장씩 넣어 인쇄하는 것이 좋습니다. • 두께가 얇은 용지에 조밀하게 인쇄하면 용지에 많은 양의 잉크가 묻 어 용지가 약간 휘어질 수 있습니다. 이때는 약간 두꺼운 용지에 인 쇄하세요. • 인쇄할 때 잉크 헤드 노즐과 닿을 정도로 두꺼운 용지를 사용하면 잉 크 카트리지에 손상이 가거나 잉크가 번질 수 있습니다. • 클리어 파일이나 비닐 폴더 등의 커버에 넣어서 보관할 때는 인쇄면 의 잉크가 완전히 건조된 후 넣어 주세요. • 투명 용지 등의 표면에 지문이 묻으면 잉크가 번지므로 주의하세요. • 인쇄물이 장기간 직사광선에 노출되면 변색 또는 변형될 수 있으므로  주의하세요. • 특수한 크기의 봉투를 사용할 때 규정된 두께보다 두꺼운 봉투를 사 용하면 제품이 고장 날 수 있습니다. • C5 봉투 등 면적이 넓은 봉투를 사용할 때는 컴퓨터에서 문서를 작성 할 때 여백을 20 mm 이상으로 설정하세요. 3  용지 공급  • 용지를 낱장이 아닌 한 묶음씩 넣으세요. 용지 묶음에는 같은 크기와  종류의 용지만을 사용하여 용지가 걸리지 않도록 하세요. • 인쇄할 면을 아래로하여 용지를 넣으세요. • 용지가 용지함에 편평하게 놓여 있고 가장자리가 휘거나 찢어지지 않 았는지 확인합니다. • 모든 용지에 잘 맞도록 용지함의 용지 너비 가이드를 조절합니다. 용 지 너비 가이드로 인해 용지함의 용지가 휘지 않도록 하세요. '],756
21,용지 넣기,"22 2. 용지 및 용지함 용지 넣기  용지함에 일반 용지, 여러 유형의 특수 용지를 넣어서 인쇄할 수 있습니다. 4  용지함에 용지 넣기 1 출력 용지함을 들어 올리세요.  2   용지 너비 조절 가이드를 최대한 멀리 밀어내세요.   가이드 조절을 하지 않으면, 용지 여백과 관계된 오류, 용지 비뚤어 짐, 용지 걸림이 발생할 수도 있습니다.     용지가 너무 긴 경우, 입력 용지함을 당겨 용지 크기에 맞게 확장하 세요.   3   용지를 넣기 전에 용지들이 서로 붙지 않도록 불거나 털어 주고 가 지런하게 정렬하세요. 4   용지를 인쇄면이 아래로 향하게 하여 세로방향으로 넣으세요.  ",305
22,용지 넣기,"['용지 넣기 23 2. 용지 및 용지함   • 프린터가 인쇄하는 동안에는 용지를 넣지 마세요.  • 용지가 용지함 하단에 표시된 용지 크기 선에 맞게 정렬 되어 있는 지 확인하세요. • 용지가 용지함에 표시된 용지 한계선을 초과하지 않는지 확인하세요.   5   용지 가장자리에 닿을 때까지 용지 너비 조절 가이드를 조정하세요.  6   출력 용지함을 내리세요. 7   출력 용지함 확장대를 당겨주세요. 5  용지함에 특수용지 넣기 카드, 봉투 등 특수한 크기와 유형의 용지를 사용할 수 있습니다. 봉투 1 출력 용지함을 들어 올리세요.  ']",270
23,용지 넣기,['용지 넣기 24 2. 용지 및 용지함 2   너비 조절 가이드를 최대한 멀리 밀어내세요. 3   아래의 그림을 따라 인쇄면을 아래로 하여 봉투를 넣으세요.    • 프린터가 인쇄하는 동안에는 봉투를 넣지 마세요.  • 봉투가 용지함 하단에 표시된 용지 크기 선에 맞게 정렬 되어 있는 지 확인하세요. • 봉투가 용지함에 표시된 용지 한계선을 초과하지 않는지 확인하세요.    4   봉투가 가장자리에 닿을 때까지 용지 너비 조절 가이드를 조정하 세요.  5   출력 용지함을 내리세요. '],253
24,용지 넣기,"['용지 넣기 25 2. 용지 및 용지함 6   출력 용지함 확장대를 당겨주세요.   봉투 인쇄를 할 경우 프린트 드라이버의 레이아웃 탭에서 용지방향을  가로로 설정해주세요.(""인쇄하기"" 28쪽 참조)   카드와 인화지  1 출력 용지함을 들어 올리세요.  2   너비 조절 가이드를 최대한 멀리 밀어내세요. 3   인쇄면을 아래로 하여 용지를 넣으세요.    가장자리를 따라 탭이 있는 포토 용지일 경우, 탭이 프린터 앞쪽을 향 하도록 해야 합니다.   ']",234
25,용지 넣기,['용지 넣기 26 2. 용지 및 용지함   • 프린터가 인쇄하는 동안에는 용지를 넣지 마세요.  • 용지가 용지함 하단에 표시된 용지 크기 선에 맞게 정렬 되어 있는 지 확인하세요. • 용지가 용지함에 표시된 용지 한계선을 초과하지 않는지 확인하세요.    4   용지가 가장자리에 닿을 때까지 용지 너비 조절 가이드를 조정하 세요.  5   출력 용지함을 내리세요. 6   출력 용지함 확장대를 당겨주세요. '],199
26,3. 인쇄,"3.  인쇄 이 장에서는 인쇄 설정, 출력 품질을 변경하거나, 특정 종류의 용지나 필름에 인쇄하거나, 특수 기능을 사용 할 수 있는 정보를 보여줍니다. • 인쇄하기 28 • 인쇄 환경 설정 29 ",98
